year,reporter,partner,co2_tonnes
2021,MYS,THA,8230.930575582415
2021,MYS,USA,358476.08690888307
2021,MYS,VNM,5916.502371467479
2021,THA,CAN,11310.396132231117
2021,THA,CHN,122207.06591010121
2021,THA,DEU,51314.26032257344
2021,THA,JPN,107991.34757833934
2021,THA,KOR,17071.807859478577
2021,THA,MEX,27146.743256565474
2021,THA,MYS,8904.357347227098
2021,THA,USA,368497.92946454504
2021,THA,VNM,3719.908815707231
2021,USA,CAN,245304.16928110566
2021,USA,CHN,3353301.119037474
2021,USA,DEU,632899.5419252083
2021,USA,JPN,748511.1991457148
2021,USA,KOR,680115.0456015463
2021,USA,MEX,557555.720336271
2021,USA,MYS,513278.7134449553
2021,USA,THA,465567.4534416407
2021,USA,VNM,547984.3163731246
2021,VNM,CAN,18262.672770911522
2021,VNM,CHN,184718.96408575366
2021,VNM,DEU,39006.37797937202
2021,VNM,JPN,59418.322893442324
2021,VNM,KOR,113197.24749193588
2021,VNM,MEX,29572.7007106096
2021,VNM,MYS,3672.350362541506
2021,VNM,THA,3621.990760328221
2021,VNM,USA,492967.277653041
2022,CAN,CHN,331697.7463075704
2022,CAN,DEU,68344.23643249979
2022,CAN,JPN,56006.85004074472
2022,CAN,KOR,26314.552376284253
2022,CAN,MEX,49343.21680656021
2022,CAN,MYS,21356.87009727195
2022,CAN,THA,27041.712252127727
2022,CAN,USA,218289.11962265926
2022,CAN,VNM,36073.298598265515
2022,CHN,CAN,197109.40099885734
2022,CHN,DEU,928438.6615358426
2022,CHN,JPN,285468.583849606
2022,CHN,KOR,122037.23761557968
2022,CHN,MEX,509601.74466800905
2022,CHN,MYS,264218.3886607719
2022,CHN,THA,155705.13366801408
2022,CHN,USA,3331676.174718174
2022,CHN,VNM,258449.09197102644
2022,DEU,CAN,51358.16725139019
2022,DEU,CHN,1342445.6279511978
2022,DEU,JPN,194098.16515945306
2022,DEU,KOR,122260.26413387232
2022,DEU,MEX,100864.76915061667
2022,DEU,MYS,105688.24340627858
2022,DEU,THA,69951.29563262852
2022,DEU,USA,892530.2072512385
2022,DEU,VNM,58277.104060779835
2022,JPN,CAN,25061.99821190993
2022,JPN,CHN,274793.94739166816
2022,JPN,DEU,129483.5536460609
2022,JPN,KOR,29518.852540453467
2022,JPN,MEX,67672.75650493024
2022,JPN,MYS,56878.12569629641
2022,JPN,THA,105983.98489314411
2022,JPN,USA,819280.2211024866
2022,JPN,VNM,59304.58934104319
2022,KOR,CAN,18788.26985710223
2022,KOR,CHN,99694.95234039237
2022,KOR,DEU,105810.46518987652
2022,KOR,JPN,31359.41855131212
2022,KOR,MEX,77772.03563080868
2022,KOR,MYS,32314.166330285894
2022,KOR,THA,16962.51687929043
2022,KOR,USA,680607.6977335009
2022,KOR,VNM,126504.9529042616
2022,MEX,CAN,34775.378655695575
2022,MEX,CHN,831464.4137025563
2022,MEX,DEU,104023.24369752889
2022,MEX,JPN,102722.3190448691
2022,MEX,KOR,195430.48406300804
2022,MEX,MYS,142528.97181351538
2022,MEX,THA,106756.99860270525
2022,MEX,USA,599338.4786388039
2022,MEX,VNM,85335.13382705384
2022,MYS,CAN,6409.717194013419
2022,MYS,CHN,169062.63651693106
2022,MYS,DEU,68564.20810441417
2022,MYS,JPN,62083.47274319442
2022,MYS,KOR,31809.00528421601
2022,MYS,MEX,35433.157051661874
2022,MYS,THA,8616.799305933848
2022,MYS,USA,432167.8378968951
2022,MYS,VNM,7175.00584198011
2022,THA,CAN,11441.875755628116
2022,THA,CHN,117404.1984744169
2022,THA,DEU,46695.1809300397
2022,THA,JPN,103933.91644383504
2022,THA,KOR,16205.374543263833
2022,THA,MEX,30145.572093872375
2022,THA,MYS,8161.356854528645
2022,THA,USA,437470.0614454142
2022,THA,VNM,4076.0312874437845
2022,USA,CAN,280304.7460844107
2022,USA,CHN,3306784.148594784
2022,USA,DEU,698124.1068027661
2022,USA,JPN,851485.7462856349
2022,USA,KOR,720235.2694224427
2022,USA,MEX,656204.0180686164
2022,USA,MYS,535255.3144701706
2022,USA,THA,559107.0336845603
2022,USA,VNM,669927.732786928
2022,VNM,CAN,19242.399837155543
2022,VNM,CHN,196820.69149941878
2022,VNM,DEU,40063.221217291924
2022,VNM,JPN,63741.84739871495
2022,VNM,KOR,123562.48927981856
2022,VNM,MEX,36639.91703375308
2022,VNM,MYS,4633.035719091055
2022,VNM,THA,4235.234424562171
2022,VNM,USA,565722.2404652149
